Frame, Time (ms)
  365,  4087.904
  366,  4099.096
  367,  4110.370
  368,  4122.018
  369,  4133.450
  370,  4144.667
  371,  4156.179
  372,  4167.562
  373,  4178.877
  374,  4190.216
  375,  4201.415
  376,  4212.704
  377,  4223.997
  378,  4235.313
  379,  4246.655
  380,  4258.001
  381,  4269.499
  382,  4280.843
  383,  4292.167
  384,  4303.746
  385,  4315.026
  386,  4326.295
  387,  4337.843
  388,  4349.141
  389,  4360.994
  390,  4372.498
  391,  4383.825
  392,  4395.194
  393,  4406.557
  394,  4417.843
  395,  4429.083
  396,  4440.412
  397,  4451.621
  398,  4462.959
  399,  4474.248
  400,  4485.552
  401,  4496.898
  402,  4508.146
  403,  4519.595
  404,  4530.770
  405,  4542.079
  406,  4553.646
  407,  4564.921
  408,  4576.160
  409,  4587.579
  410,  4598.853
  411,  4610.084
  412,  4621.689
  413,  4632.944
  414,  4644.227
  415,  4655.722
  416,  4667.095
  417,  4678.330
  418,  4689.859
  419,  4701.090
  420,  4712.285
  421,  4723.631
  422,  4734.931
  423,  4746.335
  424,  4757.603
  425,  4768.782
  426,  4780.206
  427,  4791.569
  428,  4802.938
  429,  4814.200
  430,  4825.412
  431,  4836.952
  432,  4848.208
  433,  4859.560
  434,  4871.251
  435,  4883.008
  436,  4894.481
  437,  4906.114
  438,  4917.618
  439,  4929.391
  440,  4940.490
  441,  4951.770
  442,  4963.073
  443,  4974.276
  444,  4985.586
  445,  4996.880
  446,  5008.162
  447,  5019.302
  448,  5030.695
  449,  5041.921
  450,  5053.277
  451,  5064.515
  452,  5075.656
  453,  5087.035
  454,  5098.267
  455,  5109.507
  456,  5121.190
  457,  5132.475
  458,  5143.744
  459,  5155.168
  460,  5166.608
  461,  5177.878
  462,  5189.383
  463,  5200.739
  464,  5212.024
  465,  5223.560
  466,  5234.815
  467,  5246.176
  468,  5257.508
  469,  5268.849
  470,  5280.281
  471,  5291.605
  472,  5303.075
  473,  5314.400
  474,  5325.786
  475,  5337.279
  476,  5348.613
  477,  5360.039
  478,  5371.570
  479,  5382.959
  480,  5394.237
  481,  5405.766
  482,  5417.096
  483,  5428.334
  484,  5439.949
  485,  5451.195
  486,  5462.501
  487,  5474.124
  488,  5485.433
  489,  5496.717
  490,  5507.911
  491,  5519.132
  492,  5530.472
  493,  5541.693
  494,  5552.986
  495,  5564.200
  496,  5575.480
  497,  5587.060
  498,  5598.213
  499,  5609.554
  500,  5621.198
  501,  5632.695
  502,  5643.962
  503,  5655.521
  504,  5666.952
  505,  5678.294
  506,  5690.160
  507,  5701.367
  508,  5712.844
  509,  5724.381
  510,  5735.791
  511,  5747.089
  512,  5758.375
  513,  5769.673
  514,  5781.016
  515,  5792.404
  516,  5803.841
  517,  5815.128
  518,  5826.514
  519,  5838.099
  520,  5849.847
  521,  5861.139
  522,  5872.810
  523,  5884.063
  524,  5895.251
  525,  5906.790
  526,  5918.011
  527,  5929.277
  528,  5940.664
  529,  5951.870
  530,  5963.207
  531,  5974.871
  532,  5985.795
  533,  5997.118
  534,  6008.434
  535,  6019.825
  536,  6031.133
  537,  6042.334
  538,  6053.834
  539,  6065.038
  540,  6076.299
  541,  6087.741
  542,  6098.953
  543,  6110.181
  544,  6121.766
  545,  6132.988
  546,  6144.197
  547,  6155.589
